c.55.1	113.04	124.35	22.332	108.94	-20.631	93.997	64.78	23.887	65.497	-10.799	-0.45056	17.59	-0.42678	-9.1255	18.217	10.254	-18.393	-4.4808	16.983	-17.531	-16.297	1.7905	9.3746	-9.0553	6.0384	-8.5295	17.122	5.3258	10.488	6.5168	-2.2293
c.55.1	117.42	49.644	1.2178	86.557	-40.728	88.539	22.147	2.5857	57.169	-7.7795	-16.678	-13.344	9.9747	-2.4038	-3.7624	-4.1734	14.927	5.6664	6.0145	-10.488	-2.2263	-1.0317	6.5891	-4.2106	1.0207	-1.8212	-1.5728	-8.4183	7.2486	0.23421	2.9744
c.55.1	119.74	28.546	54.637	124.67	-2.2763	111.02	31.05	8.1498	81.616	6.7518	-3.2335	-12.895	15.809	13.867	-19.501	-12.41	12.879	-23.344	14.687	-19.307	11.163	22.918	8.0123	17.468	2.1505	2.8666	-5.4847	-10.712	-10.818	-8.3569	4.0802
c.55.1	120.55	61.735	10.42	129.31	9.0673	120.1	42.198	-12.043	90.682	-23.846	2.0186	-26.838	-10.686	-15.001	6.6262	6.1645	15.284	13.625	13.753	-19.76	5.9116	-5.1988	11.477	-3.1957	6.8308	-0.17499	10.66	-11.464	8.5079	-13.646	1.9247
c.55.1	110.44	53.386	13.943	90.95	-32.922	88.34	25.67	0.42127	54.68	-14.948	-8.6332	-12.109	4.3165	-10.11	-1.5425	-0.31615	10.636	7.2382	8.9844	-11.546	2.8088	-8.466	14.781	5.1357	-3.0593	-1.4695	2.8286	-14.808	-5.6196	0.57119	9.9409
c.55.1	108.89	60.466	5.9404	113.21	5.0939	117.9	22.108	-16.275	84.091	-31.039	1.2473	-31.275	-5.7987	-13.644	1.7972	7.403	22.742	24.078	10.412	-15.142	0.86219	-15.912	20.622	-10.03	11.865	4.2113	6.4237	-22.865	11.538	-7.0639	-3.8549
c.55.1	113.04	123.63	21.839	108.51	-19.951	94.368	63.826	23.837	66.775	-11.693	-0.68205	18.636	-0.054697	-8.6093	16.56	10.288	-16.38	-4.9158	15.219	-16.137	-15.777	1.1716	8.9723	-8.0519	3.779	-7.6956	16.157	8.157	7.0654	6.2333	-3.5837
c.55.1	119.25	42.883	-1.5693	83.071	-48.501	83.791	17.482	0.52219	53.651	-8.0664	-21.404	-11.901	7.3346	-3.6307	-1.905	-3.4216	12.024	7.6252	6.4265	-8.3772	-3.0419	-3.866	4.7495	-1.8539	2.8805	-0.31598	1.8147	-9.8971	4.6388	1.1617	1.0052
c.55.1	112.68	130.59	22.068	111.85	-16.652	96.652	65.49	23.915	68.059	-11.793	3.2965	19.961	-1.5058	-9.8632	18.621	10.814	-18.906	-4.764	15.978	-18.002	-17.826	2.0824	9.6843	-8.6551	6.6174	-8.5609	17.621	7.9448	7.6639	5.643	-2.8687
c.55.1	119.25	44.289	-1.5322	84.503	-47.299	84.684	20.011	1.9118	53.926	-6.6472	-20.881	-11.664	8.0263	-1.5318	-2.849	-4.0798	12.351	6.4957	4.9267	-8.1016	-4.375	-1.974	4.3626	-1.0524	1.2309	-0.36206	-0.082509	-6.1815	0.89876	2.2562	0.57321
c.55.1	110.63	53.478	11.645	88.677	-34.159	88.783	24.794	0.86011	53.95	-15.688	-8.9821	-12.305	7.0382	-10.82	-1.3235	-0.24859	12.639	7.9068	9.1325	-12.436	3.0361	-9.8496	15.921	2.8862	-0.99533	-1.1425	2.8822	-16.248	-4.1897	0.67765	9.4295
c.55.1	108.3	57.852	1.1176	112.79	6.7617	118.19	24.196	-16.843	86.305	-30.285	0.395	-33.195	-4.5569	-10.799	-3.0369	4.1219	22.984	26.757	11.454	-11.764	-4.9374	-13.662	20.024	-10.084	10.453	5.4778	8.5527	-25.777	10.298	-6.5224	-4.3379
c.55.1	108.89	63.301	29.91	101.05	-15.423	96.71	26.825	1.8603	70.516	-15.43	-6.8716	-10.796	-0.86184	-12.584	-1.432	-0.70393	4.569	6.8667	15.032	-15.942	4.3128	-6.1479	14.829	0.11112	3.8245	-5.1814	9.8765	-16.61	6.4889	-3.4516	9.4513
c.55.1	110.44	53.469	21.752	113.76	2.866	114.46	-6.0099	-19.836	85.02	-34.584	14.214	-15.108	-25.287	-13.376	17.338	12.577	30.423	11.39	-1.1881	-29.161	-3.8642	-10.52	18.31	-4.1736	19.656	3.1097	-7.2328	-2.5468	23.176	-9.2545	-6.394
c.55.1	111.19	53.149	35.392	113.67	-7.0203	98.54	17.471	-3.485	80.172	-9.0229	1.6726	-9.1902	-16.964	2.1596	-5.4894	-6.5999	6.6773	3.479	4.0849	0.84189	1.7001	-0.69477	11.927	-14.387	2.5366	0.88703	-2.6267	-0.34735	14.456	-21.474	3.3798
c.55.1	111.94	58.7	21.554	96.983	-24.72	92.386	31.575	18.607	65.38	3.4285	-13.193	-2.6687	18.726	7.3028	-8.2515	-2.2749	9.4879	4.7263	17.104	-2.2881	-5.7994	-0.99477	1.6316	-2.6822	-4.6125	4.9615	12.892	-11.363	5.8373	-1.9065	6.294
c.55.1	121.81	-56.286	42.31	117.95	0.95866	113.78	22.125	12.952	88.792	18.895	-7.4045	6.5223	23.71	-7.7984	10.619	1.1299	-10.077	-13.674	17.651	10.236	2.8698	2.8356	-5.3184	6.1316	-4.8187	4.6291	-11.827	-0.074311	6.3912	-9.2498	1.1704
c.55.1	113.04	121.49	18.219	107.7	-21.861	92.667	58.526	16.502	65.138	-16.569	2.611	9.9493	-1.9105	-14.162	24.804	8.7716	-22.287	-2.8887	14.202	-19.263	-18.347	-2.1134	5.4835	-4.7501	8.1844	-7.0959	17.122	7.7603	7.4107	-1.3361	-3.4301
